id,type,uid,content,add_time,ups
6700008978725402217,0,3035921421,吴亦凡 我比小O可爱 你带我走吧,38000,0
6699839220142951366,0,315931617,兄妹cp,38464,1
6699821056726233422,0,1244622893,吴亦凡快来啊,38112,1
6699987933385621231,0,941576260,来看凡凡啦,38999,0
6699846117860434440,0,1596851959,才四十多分钟，根本不够看啊,38805,0
6699825033865955658,0,4259469818,来了来了吴亦凡我来看你了,38000,0
6700026433472543861,0,532145988,宋茜我来啦,39000,0
6700018062581259548,0,3378855727,觉得吴亦凡，也不怎么样啊，搞不懂有什么好喜欢的,39110,0
6700000247056869126,0,483361627,凡凡,39000,0
6699841930267317567,0,3020190772,好看,39000,0
6699828654523391172,0,279927357,为羊羔小不点打call,39000,0
6699820777553358634,0,2403854574,还没人吗,39000,0
6699823354533740570,0,3656980129,宋茜宝贝我来了,40000,3
6699831429072267689,0,439804885,再提示一次这是plus版,40256,2
6700314591418584295,0,1999520908,吴亦凡真的好高,40000,0
6699942213458732648,0,915076666,哈哈,40100,0
6699870869756970218,0,2124145743,40分钟？,40765,0
6699853543858893043,0,1390143497,凡凡呀！！温温柔柔,40602,0
6700393803500477868,0,3852285417,吴亦凡好高,41767,0
6700073905746147077,0,2186397540,好短,41992,0
6700027026178032640,0,3832493987,来啦，期待中,41616,0
6699934954964000836,0,1661654503,是啊,41000,0
6699887117618253371,0,3351669780,来了,41793,0
6699842003281761663,0,1574738530,这里好多人,41762,0
6700148303169710667,0,2381319881,没事还是不要请流量明星了，偶像包袱这么重,42215,0
6699821572122309837,0,3694946632,小凡我来啦,42000,0
6700063928537108393,0,3672837923,这期是真的好看些,42878,0
6699820352351595310,0,2881565157,凡凡,42526,0
6699821688086427022,0,1687106602,想看凡凡收拾东西,43795,4
6700371323641626532,0,1852023699,我凡,43085,0
6700063932832075697,0,1959688389,宋茜俺来了,43000,0
6699829423322538134,0,739466461,吴亦凡我来了,44910,1
6699819965804537710,0,2051725980,第一！！阿凡我来了！！！,44000,1
6700146507873379377,0,3441016477,来了,44099,0
6699822890677271896,0,323633611,就40分钟吗,44207,0
6700013200678266415,0,528734980,为宋茜,45000,1
6700126501915697805,0,1477595165,来看小凡啦,45261,0
6700093744200104388,0,1998121456,来了,45206,0
6699822388166097455,0,938749602,这个好,45000,0
6700093731315202487,0,1557725479,凡凡,46000,1
6700057778143933769,0,3429275142,何老师的衣服好帅啊。,46111,0
6699953247229719293,0,4226784853,来了,46753,0
6700380446152171624,0,810952464,吴亦凡,47000,0
6700199400395680610,0,1998416120,小不点真可爱,47000,0
6699827950148753620,0,845243459,阿凡，宽妹来了,47781,0
6700083977444465005,0,2237197011,吴亦凡来了！,47000,0
6699819716696434094,0,3922706051,第一！,47060,0
6700006998745472898,0,2620999863,来了,48528,0
6700030960368088296,0,2485523243,吴亦凡我来也,49000,1
6700039747871197974,0,1904032725,正在看上期plus，突然发现有新的了,49350,0
6699821103970873772,0,1244622893,就我吗,49039,0
6699836694702178694,0,191626176,为了凡凡我来啦！！！！,50000,2
6699995617082120148,0,4011362737,吴亦凡！,50410,1
6699820854862770124,0,2403854574,就我一个人吗,50000,2
6699976057801039428,0,1066844585,凡宝宝乖,50273,0
6699968507248528774,0,2818868615,喜欢,50000,0
6699833666750231561,0,2867468547,呜呜呜呜吴亦凡,50825,0
6700089475002608609,0,4111862814,吴亦凡,51000,0
6699998133932957758,0,4074209547,零零落落,51000,0
6699925067949283997,0,1688952310,来看我凡,52000,2
6700188886315730808,0,4150209578,哈哈哈,52000,0
6699830415459984695,0,739922680,想看凡凡,52397,0
6699819867020289743,0,1675620814,没人？,52880,0
6699840555877781642,0,4251596208,想看凡哥扎啾啾,53810,3
6699828014573263153,0,845243459,阿凡，好可爱,53129,1
6699824758988048337,0,3301388950,凡哥,53000,0
6699823861339882215,0,3433659587,来了我来了凡哥！！！！！,53819,0
6699999357998638106,0,3898102522,正片，看不够凡凡，又来这看,54818,2
6700110885414596567,0,655588420,凡凡，宽妹来了,54000,1
6700230229670945852,0,1322892623,这不是正片各位,54000,0
6700189272862787804,0,2023408630,我还说怎么只有40分钟，原来是plus版,54201,0
6700142822791436243,0,522722072,😂😂陈乔恩你要记得你是个女演员，我看到你偷偷拿奶了！,54249,0
6699841316086993707,0,4168036717,看完正片立马来这,55741,6
6700083715451459764,0,1828032202,凡凡我来啦！,55240,1
6699854145154314742,0,471385778,长英啥时候来,55883,0
6699839013984520973,0,2205214186,来啦,55369,0
6699821134035644903,0,1244622893,跟孤单,55486,0
6700015743298912974,0,1897911126,凡凡好乖巧啊,56568,1
6699992722274160249,0,492046373,来了,56035,0
6699884484803300598,0,183010671,我来也,56000,0
6699847200192193722,0,2993401649,凡凡啊啊啊啊啊,56216,0
6700399464267380826,0,464633141,来了来了,57793,0
6700126557750272704,0,1477595165,吴亦凡我来啦,57878,0
6700079459138865849,0,1627081170,来看凡凡,57000,0
